Year,Cleaned_Event
43,Southern Britain annexed by Rome
161,Death of Antoninus Pius
380,Christianity becomes official religion of Roman Empire (and thus all of Europe)
476,Fall of Western Roman Empire
581,China is unified by the Sui Dynasty
697,Venice becomes independent from Eastern Roman Empire
762,Baghdad founded; becomes center of learning during Islamic Golden Age
808,Gunpowder discovered in China
927,Kingdom of England established by Æthelstan
1096,Oxford University begins functioning
1271,Yuan Dynasty established in China by Kublai Khan
1452,Birth of Leonardo da Vinci; Renaissance begins
1511,Spanish Conquest of America begins
1643,Birth of Isaac Newton; start of the Enlightenment
1707,Union of England and Scotland
1803,Napoleon sells Louisiana Territory to USA
1826,Photography invented by Joseph Nicéphore (France)
1905,Einstein creates E=mc²; basis for atomic energy
1919,Treaty of Versailles
1949,Creation of NATO
1971,Pentagon Papers leaked; leads to US withdrawal from Vietnam
1993,European Union founded
2000,Israeli troops withdraw from southern Lebanon
2001,9/11 attacks in the US
2005,YouTube is founded
2012,Curiosity rover takes selfie and finds ancient water streambed on Mars
2016,UK votes to leave the EU; beginning of Brexit
2020,Global COVID-19 pandemic begins
2022,Human population reaches 8 billion
2025,Pope Francis dies at 88
